z,tip,sleeve
25.325,5.6825,288.9079
25.35,5.5541,272.4372
25.375,5.4946,281.7259
25.4,5.5036,288.3334
25.425,5.613,294.079
25.45,5.6917,298.9627
25.475,5.7719,313.997
25.5,5.8179,324.2434
25.525,5.8613,318.019
25.55,6.0723,303.7507
25.575,6.4826,322.5197
25.6,6.7546,339.1819
25.625,7.9128,354.1205
25.65,7.7626,366.4735
25.675,7.1559,379.2096
25.7,6.343,380.263
25.725,5.7712,359.8661
25.75,5.5107,324.0518
25.775,5.4807,308.7302
25.8,5.5064,292.2595
25.825,5.4872,276.6506
25.85,5.5704,247.8269
25.875,5.6293,245.0498
25.9,5.5745,254.7216
25.925,5.6214,256.9241
25.95,5.8479,248.6887
25.975,5.8564,260.1799
26,5.7853,274.3524
26.025,5.7202,273.8736
26.05,5.8349,263.5315
26.075,5.8588,227.047
26.1,5.9035,216.3218
26.125,6.0438,205.6925
26.15,6.3057,224.8445
26.175,7.3982,267.0746
26.2,8.276,322.6154
26.225,8.6516,372.4106
26.25,9.4323,421.0567
26.275,10.0598,448.9229
26.3,10.0729,463.5742
26.325,10.0485,471.7138
26.35,10.2811,474.012
26.375,10.5865,474.1078
26.4,11.6179,481.8643
26.425,12.6682,516.5294
26.45,13.3107,576.0922
26.475,13.2611,657.8712
26.5,13.2136,732.181
26.525,13.229,819.8014
26.55,13.8612,944.6724
26.575,14.7579,1027.026
26.6,15.7506,1178.7098
26.625,17.0874,1344.3746
26.65,18.3247,1469.3414
26.675,18.3165,1542.119
26.7,16.9285,1631.3674
26.725,16.1643,1811.2046
26.75,15.8648,1848.6468
26.775,16.4007,1757.7706
26.8,18.0974,1039.1875
26.825,21.0768,742.8103
26.85,23.1963,697.3243
26.875,25.2564,859.829
26.9,22.5563,1022.3338
26.925,19.8561,1184.8385
26.95,19.5269,1427.6858
26.975,19.3824,1640.273
27,19.3993,1662.7766
27.025,19.3059,1685.376
27.05,20.0124,0
27.075,25.036,0
27.1,40.8502,0
27.125,52.6791,0
